Title,Author,Translator,ZipRelativePath,TextRelativePath
絵姿,渡辺 温ワイルド オスカー,,cards/000020/files/2223_ruby_28385.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/2223_ruby_28385_esugata.txt
父を失う話,渡辺 温,,cards/000020/files/229_ruby_29037.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/229_ruby_29037_chichio_ushinau_hanashi.txt
兵隊の死,渡辺 温,,cards/000020/files/2316_ruby_1379.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/2316_ruby_1379_heitaino_shi.txt
ああ華族様だよ　と私は嘘を吐くのであった,渡辺 温,,cards/000020/files/2569_ruby_28290.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/2569_ruby_28290_aa_kazokusama.txt
遺書に就て,渡辺 温,,cards/000020/files/2570_ruby_28503.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/2570_ruby_28503_kakiokini_tsuite.txt
アンドロギュノスの裔,渡辺 温,,cards/000020/files/2571_ruby_28315.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/2571_ruby_28315_androgynous.txt
赤い煙突,渡辺 温,,cards/000020/files/2572_ruby_28293.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/2572_ruby_28293_akai_entotsu.txt
風船美人,渡辺 温,,cards/000020/files/2573_ruby_32346.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/2573_ruby_32346_fuusenbijin.txt
四月馬鹿,渡辺 温,,cards/000020/files/2574_ruby_32344.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/2574_ruby_32344_sigatsubaka.txt
花嫁の訂正,渡辺 温,,cards/000020/files/373_ruby_29381.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/373_ruby_29381_hanayomeno_teisei.txt
イワンとイワンの兄,渡辺 温,,cards/000020/files/401_ruby_28317.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/401_ruby_28317_iwan.txt
兵士と女優,渡辺 温ワタナベ オン,,cards/000020/files/44722_ruby_18797.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/44722_ruby_18797_heishito_joyu.txt
十年後の映画界,渡辺 温,,cards/000020/files/4486_ruby_32345.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/4486_ruby_32345_junengono_eigakai.txt
浪漫趣味者として,渡辺 温,,cards/000020/files/4487_ruby_32347.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/4487_ruby_32347_roman_shumisha.txt
氷れる花嫁,渡辺 温,,cards/000020/files/46404_ruby_29010.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/46404_ruby_29010_kooreru_hanayome.txt
恋,渡辺 温,,cards/000020/files/512_ruby_1376.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/512_ruby_1376_koi.txt
薔薇の女,渡辺 温,,cards/000020/files/55103_ruby_47795.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/55103_ruby_47795_barano_onna.txt
牛込館,渡辺 温,,cards/000020/files/55151_ruby_47794.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/55151_ruby_47794_ushigomekan.txt
勝敗,渡辺 温,,cards/000020/files/744_ruby_28710.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/744_ruby_28710_shohai.txt
少女,渡辺 温,,cards/000020/files/745_ruby_28539.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/745_ruby_28539_shojo.txt
シルクハット,渡辺 温,,cards/000020/files/746_ruby_28730.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/746_ruby_28730_silkhat.txt
嘘,渡辺 温,,cards/000020/files/883_ruby_28331.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/883_ruby_28331_uso.txt
象牙の牌,渡辺 温,,cards/000020/files/949_ruby_29012.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/949_ruby_29012_zogeno_hai.txt
青い顔,三島 霜川,,cards/000022/files/197_ruby_22597.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/197_ruby_22597_aoi_kao.txt
解剖室,三島 霜川,,cards/000022/files/410_ruby_22624.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/410_ruby_22624_kaiboshitsu.txt
水郷,三島 霜川,,cards/000022/files/42174_ruby_13147.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/42174_ruby_13147_suigo.txt
